face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 90.0, 90.0]","[0.027331658, -0.752557, 0.24771698]"
1,4,"[0, 2]","[90.0, 90.0, 90.0]","[-0.5990865, 0.31050247, 0.19656995]"
2,4,"[0, 1]","[90.0, 90.0, 90.0]","[0.5734495, 0.47050852, 0.19144803]"
