face,sides,joins,angle,vector
0,4,"[1, 2]","[90.0, 90.0, 90.0]","[-0.40873143, 0.54557353, 0.24971046]"
1,4,"[0, 2]","[0.0, 90.0, 30.0]","[0.12772924, -0.30789283, 0.43119922]"
2,4,"[0, 1]","[60.0, 90.0, 30.0]","[0.3588416, -0.023755826, 0.38561222]"
