face,sides,joins,angle,vector
0,4,"[1, 2]","[90.0, 90.0, 90.0]","[0.59391284, 0.5286134, 0.19062366]"
1,4,"[0, 2]","[0.0, 90.0, 90.0]","[0.037827097, -0.5821146, 0.34234062]"
2,4,"[0, 1]","[90.0, 90.0, 90.0]","[-0.5571061, 0.16836362, 0.24983919]"
