face,sides,joins,angle,vector
0,4,"[1, 2]","[30.0, 30.0, 90.0]","[-0.29438937, -0.16888519, 0.4769622]"
1,4,"[0, 2]","[0.0, 30.0, 120.0]","[0.015140151, -0.6468596, 0.29298028]"
2,4,"[0, 1]","[120.0, 90.0, 120.0]","[0.3204771, 0.60658574, 0.23931515]"
