face,sides,joins,angle,vector
0,4,"[1, 2]","[120.0, 60.0, 120.0]","[-0.34403238, 0.55744326, 0.2609176]"
1,4,"[0, 2]","[60.0, 60.0, 60.0]","[0.34276554, 0.09009926, 0.37191153]"
2,4,"[0, 1]","[0.0, 120.0, 60.0]","[0.0546297, -0.75513583, 0.2552299]"
