face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 30.0, 120.0]","[0.01758882, -0.7167015, 0.2767653]"
1,4,"[0, 2]","[30.0, 30.0, 90.0]","[-0.37547737, -0.24559362, 0.4141841]"
2,4,"[0, 1]","[120.0, 120.0, 90.0]","[0.40129948, 0.63517845, 0.19424762]"
