face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 120.0, 60.0]","[0.13672891, -0.43539953, 0.3660028]"
1,4,"[0, 2]","[120.0, 120.0, 90.0]","[-0.3723951, 0.6197555, 0.20021977]"
2,4,"[0, 1]","[60.0, 60.0, 90.0]","[0.41009483, 0.055065155, 0.26101744]"
