face,sides,joins,angle,vector
0,4,"[1, 2]","[30.0, 30.0, 90.0]","[-0.27976176, -0.1508949, 0.4558488]"
1,4,"[0, 2]","[0.0, 30.0, 90.0]","[0.056361496, -0.48491666, 0.39495784]"
2,4,"[0, 1]","[120.0, 90.0, 90.0]","[0.2422642, 0.5739657, 0.2738786]"
