face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 120.0, 90.0]","[0.055537306, -0.8225037, 0.21399984]"
1,4,"[0, 2]","[90.0, 120.0, 90.0]","[-0.5769617, 0.46406934, 0.17739707]"
2,4,"[0, 1]","[90.0, 90.0, 90.0]","[0.65416735, 0.33570656, 0.14955777]"
