face,sides,joins,angle,vector
0,4,[1],"[120.0, 120.0]","[-0.041935436, 0.73206335, 0.25190523]"
1,4,[0],"[0.0, 120.0]","[0.017006528, -0.5708634, 0.33746246]"

