face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 90.0, 90.0]","[0.06097104, -0.6874871, 0.29756856]"
1,4,"[0, 2]","[90.0, 90.0, 90.0]","[0.6428649, 0.4162928, 0.18289873]"
2,4,"[0, 1]","[90.0, 90.0, 90.0]","[-0.56752264, 0.37548608, 0.21709007]"
