face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 90.0, 90.0]","[0.056756504, -0.45837092, 0.357758]"
1,4,"[0, 2]","[90.0, 90.0, 90.0]","[0.61487937, 0.34212676, 0.21535623]"
2,4,"[0, 1]","[90.0, 90.0, 90.0]","[-0.502883, 0.4071947, 0.24967562]"
