face,sides,joins,angle,vector
0,4,"[1, 2]","[90.0, 90.0, 90.0]","[0.4887583, 0.5159477, 0.26136664]"
1,4,"[0, 2]","[60.0, 90.0, 60.0]","[-0.50456923, 0.121535204, 0.29893395]"
2,4,"[0, 1]","[0.0, 90.0, 60.0]","[0.035036486, -0.5140144, 0.37149823]"
