face,sides,joins,angle,vector
0,4,[1],"[0.0, 120.0]","[0.09616237, -0.55961466, 0.3458146]"
1,4,[0],"[120.0, 120.0]","[-0.09599989, 0.65774447, 0.2573105]"

