face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 120.0, 60.0]","[0.119001634, -0.61131406, 0.31262976]"
1,4,"[0, 2]","[90.0, 120.0, 90.0]","[-0.4404876, 0.46861672, 0.24562751]"
2,4,"[0, 1]","[60.0, 60.0, 90.0]","[0.4996307, 0.10206544, 0.26662844]"
