face,polygon,joins,angle,vector
0,"(293.52597402597405, 64.30519480519473)",1,2.0585813945007962,-0.39988777
,"(197.42207792207793, 307.8116883116883)",,,0.53894573
,"(374.6948051948052, 328.590909090909)",,,0.19435306
1,"(293.52597402597405, 64.30519480519473)",0,2.0585813945007962,0.6236495
,"(374.6948051948052, 328.590909090909)",,,-0.04629956
,"(390.92857142857144, 223.39610389610385)",,,0.26635793
