face,polygon,joins,angle,vector
0,"(301.31818181818187, 75.34415584415575)",1,2.3606576839422875,-0.6636218
,"(198.72077922077924, 302.61688311688306)",,,0.30602095
,"(357.1623376623377, 357.1623376623376)",,,0.227933
1,"(301.31818181818187, 75.34415584415575)",0,2.3606576839422875,0.78370714
,"(357.1623376623377, 357.1623376623376)",,,-0.02208463
,"(422.0974025974026, 249.3701298701298)",,,0.30483705
