face,polygon,joins,angle,vector
0,"(166.2532467532467, 141.57792207792198)",1,2.628478810023875,0.022054229
,"(179.24025974025975, 216.90259740259734)",2,1.9164464147075153,-0.8819151
,"(341.1314935064934, 228.590909090909)",,,0.27898923
,"(433.1363636363637, 164.30519480519473)",,,
,"(381.8376623376623, 98.72077922077915)",,,
,"(261.0584415584416, 89.62987012987003)",,,
1,"(179.24025974025975, 216.90259740259734)",0,2.628478810023875,-0.13694762
,"(197.42207792207793, 337.68181818181813)",2,1.2313038414963744,0.8281776
,"(335.73376623376623, 347.4220779220779)",,,0.15981895
,"(341.15178571428567, 228.590909090909)",,,
2,"(341.15178571428567, 228.590909090909)",0,1.9164464147075153,0.74749875
,"(433.1363636363637, 164.30519480519473)",1,1.2313038414963744,0.38335177
,"(423.3961038961039, 277.94155844155836)",,,0.18594475
,"(335.73376623376623, 347.4220779220779)",,,
