face,polygon,joins,angle,vector
0,"(223.39610389610388, 96.12337662337654)",1,2.2308097675579877,0.010744026
,"(145.47402597402595, 151.9675324675324)",2,1.5818416608615093,-0.847396
,"(201.96753246753244, 227.2922077922077)",,,0.2971666
,"(371.12337662337666, 233.33928571428567)",,,
,"(417.55194805194805, 154.56493506493499)",,,
,"(346.77272727272725, 98.72077922077915)",,,
1,"(201.96753246753244, 227.2922077922077)",0,2.2308097675579877,-0.12890643
,"(219.49999999999997, 351.9675324675324)",2,1.484733722999393,0.5209585
,"(363.6558441558442, 358.4610389610389)",,,0.32637188
,"(370.961038961039, 233.35957792207788)",,,
2,"(370.961038961039, 233.35957792207788)",0,1.5818416608615093,0.582888
,"(417.55194805194805, 154.56493506493499)",1,1.484733722999393,0.08427885
,"(414.3051948051948, 268.8506493506493)",,,0.19850896
,"(363.6558441558442, 358.4610389610389)",,,
