face,polygon,joins,angle,vector
0,"(262.3571428571429, 101.31818181818176)",1,2.2150788878459755,-0.0024133443
,"(158.46103896103895, 158.46103896103887)",2,1.9088617995569006,-0.84147686
,"(170.14935064935062, 239.62987012987006)",,,0.28819576
,"(343.76948051948045, 248.43668831168824)",,,
,"(435.73376623376623, 179.24025974025966)",,,
,"(385.73376623376623, 107.81168831168821)",,,
1,"(170.14935064935062, 239.62987012987006)",0,2.2150788878459755,-0.091881394
,"(193.52597402597402, 364.9545454545454)",2,1.1806055760880432,0.5152157
,"(343.525974025974, 368.20129870129864)",,,0.34331438
,"(343.72889610389603, 248.5381493506493)",,,
2,"(343.72889610389603, 248.5381493506493)",0,1.9088617995569006,0.6881512
,"(435.73376623376623, 179.24025974025966)",1,1.1806055760880432,0.3516433
,"(433.78571428571433, 289.6298701298701)",,,0.21217865
,"(343.525974025974, 368.20129870129864)",,,
