face,polygon,joins,angle,vector
0,"(189.6298701298701, 113.00649350649343)",1,2.009058612829745,0.021659104
,"(156.512987012987, 181.83766233766227)",2,2.2222447025143137,-0.85731864
,"(266.659090909091, 243.32305194805184)",,,0.3100756
,"(409.1103896103896, 197.42207792207785)",,,
,"(406.51298701298697, 116.90259740259734)",,,
,"(309.1103896103896, 85.73376623376612)",,,
1,"(156.512987012987, 181.83766233766227)",0,2.009058612829745,-0.5664644
,"(175.34415584415584, 311.7077922077922)",2,1.6353238758011908,0.3829543
,"(271.4480519480519, 370.79870129870125)",,,0.20682429
,"(266.6996753246754, 243.30275974025963)",,,
2,"(266.6996753246754, 243.30275974025963)",0,2.2222447025143137,0.5164848
,"(409.1103896103896, 197.42207792207785)",1,1.6353238758011908,0.5828753
,"(394.82467532467535, 314.3051948051948)",,,0.15833698
,"(271.4480519480519, 370.79870129870125)",,,
